"表章項目","世帯区分","地域区分","時間軸（月次）","/品目分類（2020年改定）","353 チョコレート菓子【円】","356 アイスクリーム・シャーベット【円】"
"金額","二人以上の世帯（2000年～）","全国","2011年1月","","107","346"
"金額","二人以上の世帯（2000年～）","全国","2011年2月","","124","289"
"金額","二人以上の世帯（2000年～）","全国","2011年3月","","134","329"
"金額","二人以上の世帯（2000年～）","全国","2011年4月","","103","462"
"金額","二人以上の世帯（2000年～）","全国","2011年5月","","86","672"
"金額","二人以上の世帯（2000年～）","全国","2011年6月","","78","791"
"金額","二人以上の世帯（2000年～）","全国","2011年7月","","58","1265"
"金額","二人以上の世帯（2000年～）","全国","2011年8月","","67","1241"
"金額","二人以上の世帯（2000年～）","全国","2011年9月","","80","767"
"金額","二人以上の世帯（2000年～）","全国","2011年10月","","112","516"
"金額","二人以上の世帯（2000年～）","全国","2011年11月","","117","393"
"金額","二人以上の世帯（2000年～）","全国","2011年12月","","128","423"
"金額","二人以上の世帯（2000年～）","全国","2012年1月","","118","339"
"金額","二人以上の世帯（2000年～）","全国","2012年2月","","134","274"
"金額","二人以上の世帯（2000年～）","全国","2012年3月","","122","385"
"金額","二人以上の世帯（2000年～）","全国","2012年4月","","97","524"
"金額","二人以上の世帯（2000年～）","全国","2012年5月","","86","671"
"金額","二人以上の世帯（2000年～）","全国","2012年6月","","81","798"
"金額","二人以上の世帯（2000年～）","全国","2012年7月","","71","1165"
"金額","二人以上の世帯（2000年～）","全国","2012年8月","","63","1332"
"金額","二人以上の世帯（2000年～）","全国","2012年9月","","81","849"
"金額","二人以上の世帯（2000年～）","全国","2012年10月","","115","515"
"金額","二人以上の世帯（2000年～）","全国","2012年11月","","132","326"
"金額","二人以上の世帯（2000年～）","全国","2012年12月","","138","414"
"金額","二人以上の世帯（2000年～）","全国","2013年1月","","110","363"
"金額","二人以上の世帯（2000年～）","全国","2013年2月","","125","322"
"金額","二人以上の世帯（2000年～）","全国","2013年3月","","123","438"
"金額","二人以上の世帯（2000年～）","全国","2013年4月","","117","525"
"金額","二人以上の世帯（2000年～）","全国","2013年5月","","99","761"
"金額","二人以上の世帯（2000年～）","全国","2013年6月","","85","878"
"金額","二人以上の世帯（2000年～）","全国","2013年7月","","77","1234"
"金額","二人以上の世帯（2000年～）","全国","2013年8月","","71","1437"
"金額","二人以上の世帯（2000年～）","全国","2013年9月","","98","794"
"金額","二人以上の世帯（2000年～）","全国","2013年10月","","117","549"
"金額","二人以上の世帯（2000年～）","全国","2013年11月","","121","370"
"金額","二人以上の世帯（2000年～）","全国","2013年12月","","120","445"
"金額","二人以上の世帯（2000年～）","全国","2014年1月","","115","396"
"金額","二人以上の世帯（2000年～）","全国","2014年2月","","130","309"
"金額","二人以上の世帯（2000年～）","全国","2014年3月","","140","447"
"金額","二人以上の世帯（2000年～）","全国","2014年4月","","109","520"
"金額","二人以上の世帯（2000年～）","全国","2014年5月","","103","803"
"金額","二人以上の世帯（2000年～）","全国","2014年6月","","85","900"
"金額","二人以上の世帯（2000年～）","全国","2014年7月","","80","1202"
"金額","二人以上の世帯（2000年～）","全国","2014年8月","","84","1238"
"金額","二人以上の世帯（2000年～）","全国","2014年9月","","102","748"
"金額","二人以上の世帯（2000年～）","全国","2014年10月","","131","570"
"金額","二人以上の世帯（2000年～）","全国","2014年11月","","143","419"
